matID,P,A,S,S_category,C,NODFst,N_lowHigh,NODFc,rho_mean0,rho_mean1,fPersP0,fPersP1,criterion_check0,criterion_check1
801,47,162,209,3,0.08051,0.62285,1,1.510857353,0.0493324516473417,0.0497180528909155,0.723404255319149,0.978723404255319,1,1
802,48,167,215,3,0.072605,1.4098,1,2.862866154,0.0512866470353201,0.0509386908380144,0.583333333333333,0.916666666666667,1,1
803,58,180,238,3,0.06954,1.8167,1,3.86862754,0.0499329736363042,0.0507814084502639,0.413793103448276,0.931034482758621,1,1
804,50,138,188,3,0.077391,1.5828,1,3.179842916,0.0508410717830081,0.0504327524750092,0.52,0.86,1,1
805,52,162,214,3,0.063984,1.5067,1,3.229584827,0.0503379155481956,0.0503423400098186,0.461538461538462,0.903846153846154,1,1
806,43,163,206,3,0.054787,1.9973,1,6.80420062,0.0496217730670514,0.049790554699391,0.465116279069767,0.906976744186046,1,1
807,62,155,217,3,0.074089,1.2778,1,2.41712754,0.0501774291283043,0.0504932298544721,0.419354838709677,0.854838709677419,1,1
808,44,171,215,3,0.089713,0.93206,1,1.948644543,0.0493954916341613,0.0489778459467897,0.659090909090909,0.931818181818182,1,1
809,64,158,222,3,0.064873,1.5583,1,3.047601851,0.0492341925271866,0.0498015287284801,0.46875,0.828125,1,1
810,59,102,161,3,0.067963,1.7521,1,3.860309761,0.049936871394482,0.0499846183578522,0.406779661016949,0.694915254237288,1,1
811,55,162,217,3,0.075645,1.1472,1,2.211213893,0.0497512940949643,0.0501841578540478,0.509090909090909,0.890909090909091,1,1
812,57,166,223,3,0.061298,1.9108,1,4.221928152,0.0508210769165782,0.050436991143234,0.350877192982456,0.789473684210526,1,1
813,58,102,160,3,0.089757,1.2103,1,2.374581422,0.0504398035978196,0.0498923152306605,0.431034482758621,0.758620689655172,1,1
814,49,168,217,3,0.068756,1.9985,1,4.410074516,0.0499397020424614,0.0502659806350363,0.448979591836735,0.918367346938776,1,1
815,56,171,227,3,0.095343,0.7213,1,1.471299648,0.0494069697349766,0.0495063510009407,0.625,0.839285714285714,1,1
816,52,150,202,3,0.07,1.4257,1,2.968888009,0.0494012836526239,0.049086409596895,0.538461538461538,0.884615384615385,1,1
817,53,166,219,3,0.081723,1.1928,1,2.322283634,0.049867909652707,0.0503261747009169,0.566037735849057,0.905660377358491,1,1
818,55,166,221,3,0.075356,1.327,1,2.553534194,0.0503640787379942,0.0494695658889769,0.581818181818182,0.927272727272727,1,1
819,48,37,85,2,0.086149,1.6569,1,4.658107582,0.0513409428190585,0.0507812675429893,0.416666666666667,0.583333333333333,1,1
820,58,164,222,3,0.071594,0.8739,1,1.787437045,0.0493632689730503,0.0493681286957709,0.551724137931034,0.931034482758621,1,1
821,52,171,223,3,0.094354,0.57204,1,1.336610044,0.0489895698881573,0.0490719078544682,0.730769230769231,0.903846153846154,1,1
822,46,155,201,3,0.094951,0.73805,1,1.584500882,0.0503196938655739,0.0502617139265392,0.760869565217391,0.934782608695652,1,1
823,45,166,211,3,0.083802,1.7088,1,3.535616173,0.0515778136127573,0.0509890384360409,0.511111111111111,0.933333333333333,1,1
824,62,169,231,3,0.05669,2.3111,1,5.553645642,0.0498028552926451,0.0490659138420909,0.338709677419355,0.82258064516129,1,1
825,62,37,99,2,0.070619,1.9838,1,6.963327268,0.0502424269577722,0.0497920752719217,0.193548387096774,0.403225806451613,1,1
826,45,83,128,2,0.10415,0.78533,1,1.834603561,0.0507487122114207,0.0509682307283746,0.577777777777778,0.8,1,1
827,54,174,228,3,0.095998,0.90025,1,1.727854731,0.0499932425321633,0.0499372861821835,0.518518518518518,0.851851851851852,1,1
828,44,168,212,3,0.10214,0.98199,1,1.86956301,0.0497038586679224,0.0496559706318587,0.727272727272727,0.954545454545455,1,1
829,64,164,228,3,0.076886,1.3453,1,2.590982697,0.0498534603537965,0.0507964991619957,0.359375,0.875,1,1
830,56,176,232,3,0.087054,1.3064,1,2.384989993,0.048974533080583,0.049646519051285,0.428571428571429,0.928571428571429,1,1
831,55,165,220,3,0.076804,1.3452,1,2.587301426,0.0501166771510281,0.0503349675732925,0.509090909090909,0.872727272727273,1,1
832,38,158,196,3,0.046802,1.4999,1,8.934832264,0.0496247171236626,0.0494310393197442,0.473684210526316,0.894736842105263,1,1
833,61,170,231,3,0.074831,1.5844,1,3.020449674,0.0512492341124385,0.0496418213416544,0.360655737704918,0.868852459016393,1,1
834,60,155,215,3,0.077527,1.7385,1,3.27073025,0.0512908076113403,0.0506768305262153,0.366666666666667,0.9,1,1
835,45,166,211,3,0.08755,0.96405,1,1.976540477,0.0500323630235796,0.0502236803272297,0.577777777777778,0.977777777777778,1,1
836,48,130,178,3,0.090865,0.79242,1,1.719257128,0.0505752180932567,0.0503052347612026,0.604166666666667,0.9375,1,1
837,51,180,231,3,0.090523,1.1715,1,2.118125352,0.0510275529003615,0.0500055536084345,0.647058823529412,0.92156862745098,1,1
838,56,151,207,3,0.066462,1.1398,1,2.257488595,0.0495218940700589,0.0493029065734649,0.553571428571429,0.839285714285714,1,1
839,55,156,211,3,0.075175,1.2732,1,2.461726737,0.0493756464380624,0.0495131011829623,0.527272727272727,0.963636363636364,1,1
840,55,168,223,3,0.086147,0.89295,1,1.747827009,0.0502877017151616,0.0502017090389766,0.563636363636364,0.854545454545454,1,1
841,49,150,199,3,0.054422,2.1046,1,6.083631783,0.0493653001858442,0.0496368011720765,0.36734693877551,0.775510204081633,1,1
842,46,165,211,3,0.082609,1.3676,1,2.707375943,0.0515149663242367,0.0507328442729349,0.673913043478261,0.978260869565217,1,1
843,64,168,232,3,0.091425,0.82363,1,1.575128132,0.0491885009488778,0.049090826810996,0.53125,0.828125,1,1
844,65,161,226,3,0.088485,1.2192,1,2.240888163,0.0494151720259552,0.0501033231946422,0.369230769230769,0.8,1,1
845,60,170,230,3,0.093137,0.95804,1,1.767411158,0.0514839399681202,0.0509590987147868,0.533333333333333,0.85,1,1
846,46,167,213,3,0.079276,1.2821,1,2.55698837,0.0510968679913892,0.0504788176285599,0.652173913043478,0.956521739130435,1,1
847,48,155,203,3,0.092204,0.67947,1,1.478814036,0.0495945785888475,0.0502692702557097,0.6875,0.9375,1,1
848,50,155,205,3,0.077419,1.0154,1,2.097494729,0.0505156812896473,0.0502848257415956,0.66,0.94,1,1
